decreased perimeter	http://purl.obolibrary.org/obo/PATO_0001713	increased perimeter	http://purl.obolibrary.org/obo/PATO_0001712	maxo.owl,hp.owl,pato.owl,mp.owl,zp.owl
decreased diameter	http://purl.obolibrary.org/obo/PATO_0001715	increased diameter	http://purl.obolibrary.org/obo/PATO_0001714	xpo.owl,fypo.owl,hp.owl,pato.owl,mp.owl,zp.owl
decreased female receptivity	http://purl.obolibrary.org/obo/PATO_0001724	increased female receptivity	http://purl.obolibrary.org/obo/PATO_0001723	pato.owl
decreased male receptivity	http://purl.obolibrary.org/obo/PATO_0001726	increased male receptivity	http://purl.obolibrary.org/obo/PATO_0001725	pato.owl
decreased radioactivity	http://purl.obolibrary.org/obo/PATO_0001743	increased radioactivity	http://purl.obolibrary.org/obo/PATO_0001742	pato.owl
paedomorphic growth	http://purl.obolibrary.org/obo/PATO_0001749	peramorphic growth	http://purl.obolibrary.org/obo/PATO_0001752	xpo.owl,wbphenotype.owl,pato.owl,mp.owl,zp.owl
female semi-fertile	http://purl.obolibrary.org/obo/PATO_0001760	female semi-sterile	http://purl.obolibrary.org/obo/PATO_0001763	pato.owl,dpo.owl,zp.owl
male semi-fertile	http://purl.obolibrary.org/obo/PATO_0001761	male semi-sterile	http://purl.obolibrary.org/obo/PATO_0001762	pato.owl,dpo.owl
decreased age	http://purl.obolibrary.org/obo/PATO_0001765	increased age	http://purl.obolibrary.org/obo/PATO_0001764	pato.owl,mp.owl,zp.owl
decreased flexibility	http://purl.obolibrary.org/obo/PATO_0001777	increased flexibility	http://purl.obolibrary.org/obo/PATO_0001776	pato.owl,mp.owl,zp.owl
decreased strength	http://purl.obolibrary.org/obo/PATO_0001779	increased strength	http://purl.obolibrary.org/obo/PATO_0001778	hp.owl,pato.owl,mp.owl,zp.owl
decreased intensity	http://purl.obolibrary.org/obo/PATO_0001783	increased intensity	http://purl.obolibrary.org/obo/PATO_0001782	hp.owl,pato.owl,mp.owl,zp.owl
decreased mass density	http://purl.obolibrary.org/obo/PATO_0001790	increased mass density	http://purl.obolibrary.org/obo/PATO_0001788	maxo.owl,hp.owl,pato.owl,mp.owl,zp.owl,pco.owl
decreased coiling	http://purl.obolibrary.org/obo/PATO_0001796	increased coiling	http://purl.obolibrary.org/obo/PATO_0001795	xpo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl
decreased sensitivity to irradiation	http://purl.obolibrary.org/obo/PATO_0001807	increased sensitivity to irradiation	http://purl.obolibrary.org/obo/PATO_0001808	pato.owl,mp.owl,zp.owl
decreased fatigability	http://purl.obolibrary.org/obo/PATO_0001817	increased fatigability	http://purl.obolibrary.org/obo/PATO_0001816	hp.owl,pato.owl,mp.owl
non-progressive	http://purl.obolibrary.org/obo/PATO_0002026	progressive	http://purl.obolibrary.org/obo/PATO_0001818	wbphenotype.owl,maxo.owl,hp.owl,pato.owl,mp.owl,zp.owl
imperforate	http://purl.obolibrary.org/obo/PATO_0001821	perforate	http://purl.obolibrary.org/obo/PATO_0002112	fypo.owl,wbphenotype.owl,hp.owl,pato.owl,mp.owl,zp.owl,omp.owl
dry	http://purl.obolibrary.org/obo/PATO_0001824	wet	http://purl.obolibrary.org/obo/PATO_0001823	hp.owl,pato.owl,mp.owl
decreased wetness	http://purl.obolibrary.org/obo/PATO_0001826	increased wetness	http://purl.obolibrary.org/obo/PATO_0001825	pato.owl,mp.owl
decreased female fertility	http://purl.obolibrary.org/obo/PATO_0001830	increased female fertility	http://purl.obolibrary.org/obo/PATO_0001831	pato.owl,mp.owl,dpo.owl,zp.owl
decreased male fertility	http://purl.obolibrary.org/obo/PATO_0001833	increased male fertility	http://purl.obolibrary.org/obo/PATO_0001832	pato.owl,mp.owl,dpo.owl,zp.owl
decreased fertility	http://purl.obolibrary.org/obo/PATO_0001834	increased fertility	http://purl.obolibrary.org/obo/PATO_0001835	wbphenotype.owl,pato.owl,mp.owl,dpo.owl,zp.owl
decreased fluid flow	http://purl.obolibrary.org/obo/PATO_0001838	increased fluid flow	http://purl.obolibrary.org/obo/PATO_0001839	pato.owl,mp.owl,zp.owl
decreased acidity	http://purl.obolibrary.org/obo/PATO_0001843	increased acidity	http://purl.obolibrary.org/obo/PATO_0001844	pato.owl,mp.owl,zp.owl
decreased coordination	http://purl.obolibrary.org/obo/PATO_0001860	increased coordination	http://purl.obolibrary.org/obo/PATO_0001859	pato.owl,mp.owl,zp.owl
defasciculated	http://purl.obolibrary.org/obo/PATO_0001959	fasciculated	http://purl.obolibrary.org/obo/PATO_0001861	xpo.owl,pato.owl,mp.owl,fbbt.owl,zp.owl
hydrophilicity	http://purl.obolibrary.org/obo/PATO_0001886	hydrophobicity	http://purl.obolibrary.org/obo/PATO_0001884	pato.owl,mp.owl,zp.owl
